"Name"|"Club"|"Position"|"Marktwert"|"Einsaetze"|"Tore"|"Punkte"|"Punkte pro Spiel"|"Eff."|"Trend"|"MW"|"spiele"|"crap"|"scrape"|"buy"
"Davari"|"Eintracht Braunschweig"|"Torwart"|"880.000"|"0 (0)"|0|0|"0,00"|"-"|""|880000|0|"Eintracht Braunschweig"|"Davari"|0
"de Camargo"|"1899 Hoffenheim"|"Sturm"|"510.000"|"22 (14)"|3|-9|"-0,64"|"-"|""|510000|22|"1899 Hoffenheim"|"de+Camargo"|0
"Delpierre"|"1899 Hoffenheim"|"Abwehr"|"430.000"|"23 (23)"|1|27|"1,17"|"15.926"|""|430000|23|"1899 Hoffenheim"|"Delpierre"|0
"Demirbay"|"Hamburger SV"|"Mittelfeld"|"540.000"|"0 (0)"|0|0|"0,00"|"-"|""|540000|0|"Hamburger SV"|"Demirbay"|0
"Derdiyok"|"1899 Hoffenheim"|"Sturm"|"1.340.000"|"19 (14)"|1|-11|"-0,79"|"-"|""|1340000|19|"1899 Hoffenheim"|"Derdiyok"|0
"Diagne"|"SC Freiburg"|"Abwehr"|"2.620.000"|"30 (29)"|1|63|"2,17"|"41.587"|""|2620000|30|"SC Freiburg"|"Diagne"|0
"Diaz"|"1. FSV Mainz 05"|"Abwehr"|"450.000"|"18 (16)"|1|19|"1,19"|"23.684"|""|450000|18|"1. FSV Mainz 05"|"Diaz"|0
"Didavi"|"VfB Stuttgart"|"Mittelfeld"|"410.000"|"3 (2)"|0|0|"0,00"|"-"|""|410000|3|"VfB Stuttgart"|"Didavi"|0
"Diego"|"VfL Wolfsburg"|"Mittelfeld"|"10.600.000"|"32 (32)"|10|143|"4,47"|"74.126"|""|10600000|32|"VfL Wolfsburg"|"Diego"|0
"Diekmeier"|"Hamburger SV"|"Abwehr"|"1.550.000"|"32 (32)"|0|36|"1,13"|"43.056"|""|1550000|32|"Hamburger SV"|"Diekmeier"|0
"Djakpa"|"Eintracht Frankfurt"|"Abwehr"|"280.000"|"5 (3)"|0|10|"3,33"|"28.000"|""|280000|5|"Eintracht Frankfurt"|"Djakpa"|0
"Djourou"|"Hamburger SV"|"Abwehr"|"2.330.000"|"14 (14)"|0|8|"0,57"|"291.250"|""|2330000|14|"Hamburger SV"|"Djourou"|0
"Dominguez"|"Borussia M'gladbach"|"Abwehr"|"4.190.000"|"30 (30)"|2|82|"2,73"|"51.098"|""|4190000|30|"Borussia M'gladbach"|"Dominguez"|0
"Donati"|"Bayer 04 Leverkusen"|"Abwehr"|"4.430.000"|"0 (0)"|0|0|"0,00"|"-"|""|4430000|0|"Bayer 04 Leverkusen"|"Donati"|0
"Dost"|"VfL Wolfsburg"|"Sturm"|"3.200.000"|"28 (26)"|8|10|"0,38"|"320.000"|""|3200000|28|"VfL Wolfsburg"|"Dost"|0
"Draxler"|"FC Schalke 04"|"Mittelfeld"|"11.190.000"|"30 (29)"|10|120|"4,14"|"93.250"|""|11190000|30|"FC Schalke 04"|"Draxler"|0
"Drewes"|"VfL Wolfsburg"|"Torwart"|"170.000"|"0 (0)"|0|0|"0,00"|"-"|""|170000|0|"VfL Wolfsburg"|"Drewes"|0
"Drmic"|"1. FC Nürnberg"|"Sturm"|"2.600.000"|"0 (0)"|0|0|"0,00"|"-"|""|2600000|0|"1. FC Nürnberg"|"Drmic"|0
"Drobny"|"Hamburger SV"|"Torwart"|"310.000"|"2 (2)"|0|10|"5,00"|"31.000"|""|310000|2|"Hamburger SV"|"Drobny"|0
"Dürholtz"|"Bayer 04 Leverkusen"|"Mittelfeld"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"Bayer 04 Leverkusen"|"Dürholtz"|0
"Ede"|"SV Werder Bremen"|"Sturm"|"390.000"|"9 (4)"|1|15|"3,75"|"26.000"|""|390000|9|"SV Werder Bremen"|"Ede"|1
"Ekici"|"SV Werder Bremen"|"Mittelfeld"|"3.120.000"|"9 (6)"|2|12|"2,00"|"260.000"|""|3120000|9|"SV Werder Bremen"|"Ekici"|0
"Ekin"|"FC Augsburg"|"Sturm"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"FC Augsburg"|"Ekin"|0
"Elabdellaoui"|"Eintracht Braunschweig"|"Mittelfeld"|"1.390.000"|"0 (0)"|0|0|"0,00"|"-"|""|1390000|0|"Eintracht Braunschweig"|"Elabdellaoui"|0
"Elia"|"SV Werder Bremen"|"Sturm"|"3.710.000"|"24 (24)"|0|28|"1,17"|"132.500"|""|3710000|24|"SV Werder Bremen"|"Elia"|0
"Elyounoussi"|"1899 Hoffenheim"|"Sturm"|"2.650.000"|"0 (0)"|0|0|"0,00"|"-"|""|2650000|0|"1899 Hoffenheim"|"Elyounoussi"|0
"Erwig-Drüppel"|"Eintracht Braunschweig"|"Mittelfeld"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"Eintracht Braunschweig"|"Erwig-Drüppel"|0
"Escudero"|"FC Schalke 04"|"Abwehr"|"290.000"|"0 (0)"|0|0|"0,00"|"-"|""|290000|0|"FC Schalke 04"|"Escudero"|0
"Esswein"|"1. FC Nürnberg"|"Sturm"|"880.000"|"27 (24)"|2|12|"0,50"|"73.333"|""|880000|27|"1. FC Nürnberg"|"Esswein"|0
"F. Daems"|"Borussia M'gladbach"|"Abwehr"|"1.190.000"|"19 (17)"|1|29|"1,71"|"41.034"|""|1190000|19|"Borussia M'gladbach"|"F.+Daems"|0
"F. Kroos"|"SV Werder Bremen"|"Abwehr"|"520.000"|"5 (5)"|0|2|"0,40"|"260.000"|""|520000|5|"SV Werder Bremen"|"F.+Kroos"|0
"F. Santana"|"FC Schalke 04"|"Abwehr"|"3.870.000"|"21 (17)"|1|21|"1,24"|"184.286"|""|3870000|21|"FC Schalke 04"|"F.+Santana"|0
"Fágner"|"VfL Wolfsburg"|"Abwehr"|"700.000"|"26 (24)"|0|16|"0,67"|"43.750"|""|7e+05|26|"VfL Wolfsburg"|"Fágner"|0
"Fährmann"|"FC Schalke 04"|"Torwart"|"230.000"|"0 (0)"|0|0|"0,00"|"-"|""|230000|0|"FC Schalke 04"|"Fährmann"|0
"Farfan"|"FC Schalke 04"|"Sturm"|"8.870.000"|"27 (26)"|6|122|"4,69"|"72.705"|""|8870000|27|"FC Schalke 04"|"Farfan"|0
"Fathi"|"1. FSV Mainz 05"|"Abwehr"|"170.000"|"0 (0)"|0|0|"0,00"|"-"|""|170000|0|"1. FSV Mainz 05"|"Fathi"|0
"Felipe Lopes"|"VfL Wolfsburg"|"Abwehr"|"230.000"|"4 (3)"|0|2|"0,67"|"115.000"|""|230000|4|"VfL Wolfsburg"|"Felipe+Lopes"|0
"Felipe Martins"|"Hannover 96"|"Abwehr"|"610.000"|"4 (3)"|1|5|"1,67"|"122.000"|""|610000|4|"Hannover 96"|"Felipe+Martins"|0
"Fetsch"|"FC Augsburg"|"Sturm"|"230.000"|"0 (0)"|0|0|"0,00"|"-"|""|230000|0|"FC Augsburg"|"Fetsch"|0
"Feulner"|"1. FC Nürnberg"|"Mittelfeld"|"610.000"|"23 (20)"|4|26|"1,30"|"23.462"|""|610000|23|"1. FC Nürnberg"|"Feulner"|0
"Firmino"|"1899 Hoffenheim"|"Mittelfeld"|"4.380.000"|"33 (33)"|5|43|"1,30"|"101.860"|""|4380000|33|"1899 Hoffenheim"|"Firmino"|0
"Flum"|"Eintracht Frankfurt"|"Mittelfeld"|"1.310.000"|"26 (15)"|1|28|"1,87"|"46.786"|""|1310000|26|"Eintracht Frankfurt"|"Flum"|0
"Framberger"|"FC Augsburg"|"Abwehr"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"FC Augsburg"|"Framberger"|0
"França"|"Hannover 96"|"Mittelfeld"|"400.000"|"0 (0)"|0|0|"0,00"|"-"|""|4e+05|0|"Hannover 96"|"França"|0
"Frantz"|"1. FC Nürnberg"|"Mittelfeld"|"240.000"|"27 (22)"|1|-4|"-0,18"|"-"|""|240000|27|"1. FC Nürnberg"|"Frantz"|0
"Franz"|"Hertha BSC"|"Abwehr"|"530.000"|"0 (0)"|0|0|"0,00"|"-"|""|530000|0|"Hertha BSC"|"Franz"|0
"Freis"|"SC Freiburg"|"Sturm"|"250.000"|"12 (9)"|1|-5|"-0,56"|"-"|""|250000|12|"SC Freiburg"|"Freis"|0
"Fritz"|"SV Werder Bremen"|"Mittelfeld"|"1.200.000"|"22 (20)"|0|7|"0,35"|"171.429"|""|1200000|22|"SV Werder Bremen"|"Fritz"|0
"Fuhry"|"Hannover 96"|"Torwart"|"190.000"|"0 (0)"|0|0|"0,00"|"-"|""|190000|0|"Hannover 96"|"Fuhry"|0
"Füllkrug"|"SV Werder Bremen"|"Sturm"|"700.000"|"12 (6)"|1|3|"0,50"|"233.333"|""|7e+05|12|"SV Werder Bremen"|"Füllkrug"|0
"Funk"|"VfB Stuttgart"|"Abwehr"|"250.000"|"0 (0)"|0|0|"0,00"|"-"|""|250000|0|"VfB Stuttgart"|"Funk"|0
"G. Fernandes"|"SC Freiburg"|"Mittelfeld"|"2.570.000"|"0 (0)"|0|0|"0,00"|"-"|""|2570000|0|"SC Freiburg"|"G.+Fernandes"|0
"G. Korte"|"Eintracht Braunschweig"|"Mittelfeld"|"290.000"|"0 (0)"|0|0|"0,00"|"-"|""|290000|0|"Eintracht Braunschweig"|"G.+Korte"|0
"G. Sakai"|"VfB Stuttgart"|"Abwehr"|"510.000"|"27 (27)"|0|6|"0,22"|"85.000"|""|510000|27|"VfB Stuttgart"|"G.+Sakai"|0
"Gebhart"|"1. FC Nürnberg"|"Mittelfeld"|"620.000"|"18 (14)"|2|21|"1,50"|"29.524"|""|620000|18|"1. FC Nürnberg"|"Gebhart"|0
"Geis"|"1. FSV Mainz 05"|"Mittelfeld"|"670.000"|"8 (7)"|1|8|"1,14"|"83.750"|""|670000|8|"1. FSV Mainz 05"|"Geis"|0
"Gelios"|"FC Augsburg"|"Torwart"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"FC Augsburg"|"Gelios"|0
"Gentner"|"VfB Stuttgart"|"Mittelfeld"|"3.920.000"|"34 (34)"|5|78|"2,29"|"50.256"|""|3920000|34|"VfB Stuttgart"|"Gentner"|0
"Ginczek"|"1. FC Nürnberg"|"Sturm"|"3.300.000"|"0 (0)"|0|0|"0,00"|"-"|""|3300000|0|"1. FC Nürnberg"|"Ginczek"|0
"Ginter"|"SC Freiburg"|"Abwehr"|"2.170.000"|"23 (22)"|1|45|"2,05"|"48.222"|""|2170000|23|"SC Freiburg"|"Ginter"|0
"Gökdemir"|"Hannover 96"|"Abwehr"|"220.000"|"0 (0)"|0|0|"0,00"|"-"|""|220000|0|"Hannover 96"|"Gökdemir"|0
"Gomez"|"FC Bayern München"|"Sturm"|"3.080.000"|"21 (14)"|11|83|"5,93"|"37.108"|""|3080000|21|"FC Bayern München"|"Gomez"|1
"Goretzka"|"FC Schalke 04"|"Mittelfeld"|"6.150.000"|"0 (0)"|0|0|"0,00"|"-"|""|6150000|0|"FC Schalke 04"|"Goretzka"|0
"Grahl"|"1899 Hoffenheim"|"Torwart"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"1899 Hoffenheim"|"Grahl"|0
"Grifo"|"1899 Hoffenheim"|"Mittelfeld"|"270.000"|"12 (6)"|0|2|"0,33"|"135.000"|""|270000|12|"1899 Hoffenheim"|"Grifo"|0
"Großkreutz"|"Borussia Dortmund"|"Mittelfeld"|"2.660.000"|"29 (23)"|2|42|"1,83"|"63.333"|""|2660000|29|"Borussia Dortmund"|"Großkreutz"|0
"Grün"|"VfL Wolfsburg"|"Torwart"|"280.000"|"17 (17)"|0|48|"2,82"|"5.833"|""|280000|17|"VfL Wolfsburg"|"Grün"|0
"Guédé"|"SC Freiburg"|"Mittelfeld"|"310.000"|"21 (14)"|1|-4|"-0,29"|"-"|""|310000|21|"SC Freiburg"|"Guédé"|0
"Gündogan"|"Borussia Dortmund"|"Mittelfeld"|"11.480.000"|"28 (26)"|3|132|"5,08"|"86.970"|""|11480000|28|"Borussia Dortmund"|"Gündogan"|0
"Günter"|"SC Freiburg"|"Abwehr"|"250.000"|"7 (5)"|0|-4|"-0,80"|"-"|""|250000|7|"SC Freiburg"|"Günter"|0
"Gyau"|"1899 Hoffenheim"|"Mittelfeld"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"1899 Hoffenheim"|"Gyau"|0
"H. Müller"|"Hannover 96"|"Torwart"|"310.000"|"3 (3)"|0|-4|"-1,33"|"-"|""|310000|3|"Hannover 96"|"H.+Müller"|0
"H. Sakai"|"Hannover 96"|"Abwehr"|"510.000"|"13 (9)"|0|2|"0,22"|"255.000"|""|510000|13|"Hannover 96"|"H.+Sakai"|0
"Haggui"|"Hannover 96"|"Abwehr"|"530.000"|"22 (19)"|1|17|"0,89"|"31.176"|""|530000|22|"Hannover 96"|"Haggui"|0
"Hahn"|"FC Augsburg"|"Mittelfeld"|"930.000"|"16 (13)"|0|30|"2,31"|"31.000"|""|930000|16|"FC Augsburg"|"Hahn"|0
"Hajnal"|"VfB Stuttgart"|"Mittelfeld"|"340.000"|"13 (9)"|0|-16|"-1,78"|"-"|""|340000|13|"VfB Stuttgart"|"Hajnal"|0
"Halil Altintop"|"FC Augsburg"|"Sturm"|"3.560.000"|"0 (0)"|0|0|"0,00"|"-"|""|3560000|0|"FC Augsburg"|"Halil+Altintop"|0
"Hanke"|"SC Freiburg"|"Sturm"|"3.150.000"|"32 (20)"|4|42|"2,10"|"75.000"|""|3150000|32|"SC Freiburg"|"Hanke"|0
"Harnik"|"VfB Stuttgart"|"Sturm"|"4.390.000"|"30 (30)"|5|23|"0,77"|"190.870"|""|4390000|30|"VfB Stuttgart"|"Harnik"|0
"Hartherz"|"SV Werder Bremen"|"Abwehr"|"250.000"|"0 (0)"|0|0|"0,00"|"-"|""|250000|0|"SV Werder Bremen"|"Hartherz"|0
"Hasani"|"VfL Wolfsburg"|"Sturm"|"160.000"|"4 (3)"|0|-4|"-1,33"|"-"|""|160000|4|"VfL Wolfsburg"|"Hasani"|0
"Hasebe"|"VfL Wolfsburg"|"Mittelfeld"|"580.000"|"23 (23)"|2|32|"1,39"|"18.125"|""|580000|23|"VfL Wolfsburg"|"Hasebe"|1
"Hedenstad"|"SC Freiburg"|"Abwehr"|"470.000"|"16 (11)"|0|16|"1,45"|"29.375"|""|470000|16|"SC Freiburg"|"Hedenstad"|0
"Hegeler"|"Bayer 04 Leverkusen"|"Mittelfeld"|"1.630.000"|"27 (16)"|3|46|"2,88"|"35.435"|""|1630000|27|"Bayer 04 Leverkusen"|"Hegeler"|0
"Heimeroth"|"Borussia M'gladbach"|"Torwart"|"170.000"|"1 (0)"|0|0|"0,00"|"-"|""|170000|1|"Borussia M'gladbach"|"Heimeroth"|0
"Helmes"|"VfL Wolfsburg"|"Sturm"|"3.540.000"|"4 (2)"|0|4|"2,00"|"885.000"|""|3540000|4|"VfL Wolfsburg"|"Helmes"|0
"Henn"|"Eintracht Braunschweig"|"Abwehr"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"Eintracht Braunschweig"|"Henn"|0
"Hien"|"Eintracht Frankfurt"|"Abwehr"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"Eintracht Frankfurt"|"Hien"|0
"Hildebrand"|"FC Schalke 04"|"Torwart"|"1.370.000"|"21 (21)"|0|50|"2,38"|"27.400"|""|1370000|21|"FC Schalke 04"|"Hildebrand"|0
"Hitz"|"FC Augsburg"|"Torwart"|"180.000"|"0 (0)"|0|0|"0,00"|"-"|""|180000|0|"FC Augsburg"|"Hitz"|0
"Hlousek"|"1. FC Nürnberg"|"Mittelfeld"|"270.000"|"0 (0)"|0|0|"0,00"|"-"|""|270000|0|"1. FC Nürnberg"|"Hlousek"|0
"Hochscheidt"|"Eintracht Braunschweig"|"Mittelfeld"|"830.000"|"0 (0)"|0|0|"0,00"|"-"|""|830000|0|"Eintracht Braunschweig"|"Hochscheidt"|0
"Höfler"|"SC Freiburg"|"Mittelfeld"|"400.000"|"0 (0)"|0|0|"0,00"|"-"|""|4e+05|0|"SC Freiburg"|"Höfler"|0
"Höger"|"FC Schalke 04"|"Mittelfeld"|"2.300.000"|"22 (16)"|3|48|"3,00"|"47.917"|""|2300000|22|"FC Schalke 04"|"Höger"|0
"Höhn"|"SC Freiburg"|"Abwehr"|"410.000"|"8 (8)"|0|8|"1,00"|"51.250"|""|410000|8|"SC Freiburg"|"Höhn"|0
"Höjbjerg"|"FC Bayern München"|"Mittelfeld"|"1.930.000"|"2 (0)"|0|0|"0,00"|"-"|""|1930000|2|"FC Bayern München"|"Höjbjerg"|0
"Holland"|"Hertha BSC"|"Mittelfeld"|"280.000"|"0 (0)"|0|0|"0,00"|"-"|""|280000|0|"Hertha BSC"|"Holland"|0
"Holzhauser"|"FC Augsburg"|"Mittelfeld"|"1.720.000"|"21 (16)"|0|8|"0,50"|"215.000"|""|1720000|21|"FC Augsburg"|"Holzhauser"|0
"Hoogland"|"FC Schalke 04"|"Abwehr"|"730.000"|"4 (3)"|0|6|"2,00"|"121.667"|""|730000|4|"FC Schalke 04"|"Hoogland"|0
"Hornschuh"|"Borussia Dortmund"|"Abwehr"|"230.000"|"0 (0)"|0|0|"0,00"|"-"|""|230000|0|"Borussia Dortmund"|"Hornschuh"|0
"Hosogai"|"Hertha BSC"|"Abwehr"|"1.120.000"|"17 (10)"|0|6|"0,60"|"186.667"|""|1120000|17|"Hertha BSC"|"Hosogai"|0
"Höwedes"|"FC Schalke 04"|"Abwehr"|"5.320.000"|"32 (32)"|0|96|"3,00"|"55.417"|""|5320000|32|"FC Schalke 04"|"Höwedes"|0
"Hrgota"|"Borussia M'gladbach"|"Sturm"|"2.060.000"|"13 (8)"|3|19|"2,38"|"108.421"|""|2060000|13|"Borussia M'gladbach"|"Hrgota"|0
"Hubnik"|"Hertha BSC"|"Abwehr"|"400.000"|"0 (0)"|0|0|"0,00"|"-"|""|4e+05|0|"Hertha BSC"|"Hubnik"|0
"Hummels"|"Borussia Dortmund"|"Abwehr"|"8.960.000"|"28 (28)"|1|89|"3,18"|"100.674"|""|8960000|28|"Borussia Dortmund"|"Hummels"|0
"Hunt"|"SV Werder Bremen"|"Mittelfeld"|"7.600.000"|"28 (28)"|11|131|"4,68"|"58.015"|""|7600000|28|"SV Werder Bremen"|"Hunt"|0
"Huntelaar"|"FC Schalke 04"|"Sturm"|"9.460.000"|"26 (26)"|10|41|"1,58"|"230.732"|""|9460000|26|"FC Schalke 04"|"Huntelaar"|0
"Huszti"|"Hannover 96"|"Mittelfeld"|"5.590.000"|"21 (21)"|9|82|"3,90"|"68.171"|""|5590000|21|"Hannover 96"|"Huszti"|0
"Ibisevic"|"VfB Stuttgart"|"Sturm"|"6.390.000"|"30 (30)"|15|63|"2,10"|"101.429"|""|6390000|30|"VfB Stuttgart"|"Ibisevic"|0
"Ignjovski"|"SV Werder Bremen"|"Mittelfeld"|"460.000"|"20 (19)"|1|14|"0,74"|"32.857"|""|460000|20|"SV Werder Bremen"|"Ignjovski"|0
"Ildiz"|"1. FC Nürnberg"|"Mittelfeld"|"240.000"|"5 (0)"|0|0|"0,00"|"-"|""|240000|5|"1. FC Nürnberg"|"Ildiz"|0
"Ilicevic"|"Hamburger SV"|"Mittelfeld"|"720.000"|"8 (5)"|1|10|"2,00"|"72.000"|""|720000|8|"Hamburger SV"|"Ilicevic"|0
"Inui"|"Eintracht Frankfurt"|"Mittelfeld"|"3.240.000"|"33 (33)"|6|59|"1,79"|"54.915"|""|3240000|33|"Eintracht Frankfurt"|"Inui"|0
"J. Boateng"|"FC Bayern München"|"Abwehr"|"6.630.000"|"26 (26)"|2|120|"4,62"|"55.250"|""|6630000|26|"FC Bayern München"|"J.+Boateng"|0
"J. Hofmann"|"Borussia Dortmund"|"Mittelfeld"|"1.050.000"|"3 (2)"|0|6|"3,00"|"175.000"|""|1050000|3|"Borussia Dortmund"|"J.+Hofmann"|0
"J. Matip"|"FC Schalke 04"|"Abwehr"|"4.490.000"|"32 (32)"|3|85|"2,66"|"52.824"|""|4490000|32|"FC Schalke 04"|"J.+Matip"|0
"Jaissle"|"1899 Hoffenheim"|"Abwehr"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"1899 Hoffenheim"|"Jaissle"|0
"Janker"|"Hertha BSC"|"Abwehr"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"Hertha BSC"|"Janker"|0
"Jansen"|"Hamburger SV"|"Abwehr"|"2.990.000"|"28 (28)"|1|44|"1,57"|"67.955"|""|2990000|28|"Hamburger SV"|"Jansen"|0
"Jantschke"|"Borussia M'gladbach"|"Abwehr"|"1.360.000"|"31 (31)"|1|21|"0,68"|"64.762"|""|1360000|31|"Borussia M'gladbach"|"Jantschke"|0
"Javi Martínez"|"Hannover 96"|"Mittelfeld"|"10.670.000"|"27 (23)"|3|126|"5,48"|"84.683"|""|10670000|27|"Hannover 96"|"Javi+Martínez"|0
"Jiracek"|"Hamburger SV"|"Mittelfeld"|"1.040.000"|"13 (11)"|1|-6|"-0,55"|"-"|""|1040000|13|"Hamburger SV"|"Jiracek"|0
"Johnson"|"1899 Hoffenheim"|"Abwehr"|"2.360.000"|"31 (31)"|3|51|"1,65"|"46.275"|""|2360000|31|"1899 Hoffenheim"|"Johnson"|0
"Jones"|"FC Schalke 04"|"Mittelfeld"|"3.620.000"|"25 (24)"|1|66|"2,75"|"54.848"|""|3620000|25|"FC Schalke 04"|"Jones"|0
"Jönsson"|"VfL Wolfsburg"|"Sturm"|"250.000"|"6 (2)"|0|-2|"-1,00"|"-"|""|250000|6|"VfL Wolfsburg"|"Jönsson"|0
"Joselu"|"Eintracht Frankfurt"|"Sturm"|"3.720.000"|"25 (24)"|5|11|"0,46"|"338.182"|""|3720000|25|"Eintracht Frankfurt"|"Joselu"|0
"Jullien"|"SC Freiburg"|"Abwehr"|"1.390.000"|"0 (0)"|0|0|"0,00"|"-"|""|1390000|0|"SC Freiburg"|"Jullien"|0
"Jung"|"Eintracht Frankfurt"|"Abwehr"|"4.090.000"|"32 (32)"|1|97|"3,03"|"42.165"|""|4090000|32|"Eintracht Frankfurt"|"Jung"|0
"Junuzovic"|"SV Werder Bremen"|"Mittelfeld"|"3.010.000"|"30 (30)"|3|56|"1,87"|"53.750"|""|3010000|30|"SV Werder Bremen"|"Junuzovic"|0
"K. Günter"|"Hannover 96"|"Abwehr"|"270.000"|"0 (0)"|0|0|"0,00"|"-"|""|270000|0|"Hannover 96"|"K.+Günter"|0
"K. Papadopoulos"|"FC Schalke 04"|"Abwehr"|"3.600.000"|"10 (9)"|1|26|"2,89"|"138.462"|""|3600000|10|"FC Schalke 04"|"K.+Papadopoulos"|0
"Kacar"|"Hamburger SV"|"Mittelfeld"|"270.000"|"3 (1)"|0|2|"2,00"|"135.000"|""|270000|3|"Hamburger SV"|"Kacar"|0
"Kadah"|"Hannover 96"|"Sturm"|"270.000"|"2 (0)"|0|0|"0,00"|"-"|""|270000|2|"Hannover 96"|"Kadah"|0
"Kanazaki"|"1. FC Nürnberg"|"Mittelfeld"|"230.000"|"4 (3)"|0|0|"0,00"|"-"|""|230000|4|"1. FC Nürnberg"|"Kanazaki"|0
"Karaman"|"1899 Hoffenheim"|"Sturm"|"200.000"|"0 (0)"|0|0|"0,00"|"-"|""|2e+05|0|"1899 Hoffenheim"|"Karaman"|0
"Karius"|"1. FSV Mainz 05"|"Torwart"|"220.000"|"1 (1)"|0|4|"4,00"|"55.000"|""|220000|1|"1. FSV Mainz 05"|"Karius"|0
"Kasumovic"|"Hannover 96"|"Sturm"|"190.000"|"0 (0)"|0|0|"0,00"|"-"|""|190000|0|"Hannover 96"|"Kasumovic"|0
"Kehl"|"Borussia Dortmund"|"Mittelfeld"|"2.580.000"|"22 (19)"|0|52|"2,74"|"49.615"|""|2580000|22|"Borussia Dortmund"|"Kehl"|0
"Kempf"|"Eintracht Frankfurt"|"Abwehr"|"230.000"|"2 (2)"|0|-2|"-1,00"|"-"|""|230000|2|"Eintracht Frankfurt"|"Kempf"|0
"Kerk"|"SC Freiburg"|"Mittelfeld"|"520.000"|"1 (1)"|0|4|"4,00"|"130.000"|""|520000|1|"SC Freiburg"|"Kerk"|0
"Kessel"|"Eintracht Braunschweig"|"Abwehr"|"280.000"|"0 (0)"|0|0|"0,00"|"-"|""|280000|0|"Eintracht Braunschweig"|"Kessel"|0
"Kießling"|"Bayer 04 Leverkusen"|"Sturm"|"12.950.000"|"34 (34)"|25|229|"6,74"|"56.550"|""|12950000|34|"Bayer 04 Leverkusen"|"Kießling"|0
"Kirch"|"Borussia Dortmund"|"Abwehr"|"320.000"|"4 (2)"|0|0|"0,00"|"-"|""|320000|4|"Borussia Dortmund"|"Kirch"|0
"Kirchhoff"|"FC Bayern München"|"Abwehr"|"1.740.000"|"18 (17)"|0|38|"2,24"|"45.789"|""|1740000|18|"FC Bayern München"|"Kirchhoff"|0
"Kirschbaum"|"VfB Stuttgart"|"Torwart"|"190.000"|"0 (0)"|0|0|"0,00"|"-"|""|190000|0|"VfB Stuttgart"|"Kirschbaum"|0
"Kittel"|"Eintracht Frankfurt"|"Mittelfeld"|"210.000"|"6 (0)"|0|0|"0,00"|"-"|""|210000|6|"Eintracht Frankfurt"|"Kittel"|0
"Kiyotake"|"1. FC Nürnberg"|"Mittelfeld"|"5.230.000"|"31 (30)"|4|90|"3,00"|"58.111"|""|5230000|31|"1. FC Nürnberg"|"Kiyotake"|0
"Klaus"|"SC Freiburg"|"Mittelfeld"|"840.000"|"24 (22)"|2|-2|"-0,09"|"-"|""|840000|24|"SC Freiburg"|"Klaus"|0
"Klavan"|"FC Augsburg"|"Abwehr"|"740.000"|"30 (30)"|0|44|"1,47"|"16.818"|""|740000|30|"FC Augsburg"|"Klavan"|1
"Klingenburg"|"FC Schalke 04"|"Mittelfeld"|"190.000"|"0 (0)"|0|0|"0,00"|"-"|""|190000|0|"FC Schalke 04"|"Klingenburg"|0
"Kluft"|"Eintracht Braunschweig"|"Mittelfeld"|"260.000"|"0 (0)"|0|0|"0,00"|"-"|""|260000|0|"Eintracht Braunschweig"|"Kluft"|0
"Kluge"|"Hertha BSC"|"Mittelfeld"|"1.480.000"|"0 (0)"|0|0|"0,00"|"-"|""|1480000|0|"Hertha BSC"|"Kluge"|0
"Knoche"|"VfL Wolfsburg"|"Abwehr"|"430.000"|"11 (11)"|0|-1|"-0,09"|"-"|""|430000|11|"VfL Wolfsburg"|"Knoche"|0
"Kobiashvili"|"Hertha BSC"|"Abwehr"|"430.000"|"0 (0)"|0|0|"0,00"|"-"|""|430000|0|"Hertha BSC"|"Kobiashvili"|0
"Koch"|"1. FSV Mainz 05"|"Abwehr"|"1.400.000"|"0 (0)"|0|0|"0,00"|"-"|""|1400000|0|"1. FSV Mainz 05"|"Koch"|0
"Kohr"|"Bayer 04 Leverkusen"|"Mittelfeld"|"160.000"|"4 (0)"|0|0|"0,00"|"-"|""|160000|4|"Bayer 04 Leverkusen"|"Kohr"|0
"Kolasinac"|"FC Schalke 04"|"Abwehr"|"2.810.000"|"16 (13)"|0|24|"1,85"|"117.083"|""|2810000|16|"FC Schalke 04"|"Kolasinac"|0
"Koo"|"VfL Wolfsburg"|"Mittelfeld"|"3.250.000"|"21 (20)"|3|52|"2,60"|"62.500"|""|3250000|21|"VfL Wolfsburg"|"Koo"|0
"Korb"|"Borussia M'gladbach"|"Mittelfeld"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"Borussia M'gladbach"|"Korb"|0
