"Name"|"Club"|"Position"|"Marktwert"|"Einsaetze"|"Tore"|"Punkte"|"Punkte pro Spiel"|"Eff."|"Trend"|"MW"|"spiele"|"crap"|"scrape"|"buy"
"Toprak"|"Bayer 04 Leverkusen"|"Abwehr"|"4.840.000"|"26 (25)"|1|83|"3,32"|"58.313"|""|4840000|26|"Bayer 04 Leverkusen"|"Toprak"|0
"Torun"|"VfB Stuttgart"|"Mittelfeld"|"240.000"|"9 (9)"|0|-14|"-1,56"|"-"|""|240000|9|"VfB Stuttgart"|"Torun"|0
"Traore"|"VfB Stuttgart"|"Mittelfeld"|"4.380.000"|"32 (31)"|3|78|"2,52"|"56.154"|""|4380000|32|"VfB Stuttgart"|"Traore"|0
"Trapp"|"Eintracht Frankfurt"|"Torwart"|"3.390.000"|"26 (26)"|0|130|"5,00"|"26.077"|""|3390000|26|"Eintracht Frankfurt"|"Trapp"|0
"Träsch"|"VfL Wolfsburg"|"Mittelfeld"|"1.100.000"|"17 (14)"|0|18|"1,29"|"61.111"|""|1100000|17|"VfL Wolfsburg"|"Träsch"|0
"Trybull"|"SV Werder Bremen"|"Mittelfeld"|"240.000"|"4 (4)"|0|2|"0,50"|"120.000"|""|240000|4|"SV Werder Bremen"|"Trybull"|0
"Uchida"|"FC Schalke 04"|"Abwehr"|"1.590.000"|"24 (24)"|1|41|"1,71"|"38.780"|""|1590000|24|"FC Schalke 04"|"Uchida"|0
"Uhde"|"FC Augsburg"|"Abwehr"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"FC Augsburg"|"Uhde"|0
"Ulreich"|"VfB Stuttgart"|"Torwart"|"2.340.000"|"34 (34)"|0|122|"3,59"|"19.180"|""|2340000|34|"VfB Stuttgart"|"Ulreich"|0
"Unnerstall"|"FC Schalke 04"|"Torwart"|"410.000"|"13 (13)"|0|30|"2,31"|"13.667"|""|410000|13|"FC Schalke 04"|"Unnerstall"|0
"Uphoff"|"1. FC Nürnberg"|"Torwart"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"1. FC Nürnberg"|"Uphoff"|0
